case,word,reduced_word,points,delta_k,delta_m,raw_gap,sheet_residual,wind_0,wind_wstar,min_dist_0,min_dist_wstar
A,A,A,901,0,1,1.0960567632763896,2.0888836804026048e-17,0,1,0.29220062755534637,0.3999999999999998
B,B,B,901,1,0,3.3111951512797497,0.0,1,1,1.0922006275553462,0.4
A_then_B,A B,A B,1801,1,1,0.08364866686351986,0.0,1,2,0.29220062755534637,0.3999999999999998
B_then_A,B A,B A,1801,1,0,3.3111951512797497,0.0,1,2,0.29220062755534637,0.3999999999999998
two_A,A A,A A,1801,0,2,1.0879061763234121,0.0,0,2,0.29220062755534637,0.3999999999999998
three_B,B B B,B B B,2701,3,0,7.580949250004179,0.0,3,3,1.0922006275553462,0.4
A_then_Ainv,A A_inv,A A_inv,1801,0,0,8.295626829586799e-17,8.295626829586799e-17,0,0,0.29220062755534637,0.3999999999999998
commutator,A B A_inv B_inv,A B A_inv B_inv,3601,0,1,1.0960567632763896,5.1225770362461205e-17,0,0,0.29220062755534637,0.3999999999999998
